Dimension,PopulationSize,Generations,EngineType,Complexity,Best result,Mean best result,Mean first achieved iter,Mean finished eval at,Mean eval ime
2,10,500,Islands(8),5,9.997804895292882,9.98,0.0,4.0,89.0
2,10,1000,SingleThreaded,0,0.0,0.0,0.0,1000.0,5.4
2,10,1000,SingleThreaded,1,7.916658597610205,6.82,0.0,1000.0,6.1
2,10,1000,SingleThreaded,2,7.916658597610205,6.82,0.0,1000.0,7.1
2,10,1000,SingleThreaded,3,7.916658597610205,6.82,0.0,1000.0,8.8
2,10,1000,SingleThreaded,4,7.916658597610205,6.82,0.0,1000.0,10.0
2,10,1000,SingleThreaded,5,7.916658597610205,6.82,0.0,1000.0,10.4
2,10,1000,MasterSlave,0,0.0,0.0,0.0,1000.0,16.4
2,10,1000,MasterSlave,1,7.916658597610205,6.82,0.0,1000.0,20.4
2,10,1000,MasterSlave,2,7.916658597610205,6.82,0.0,1000.0,25.5
2,10,1000,MasterSlave,3,7.916658597610205,6.82,0.0,1000.0,24.5
2,10,1000,MasterSlave,4,7.916658597610205,6.82,0.0,1000.0,24.2
2,10,1000,MasterSlave,5,7.916658597610205,6.82,0.0,1000.0,26.7
2,10,1000,Islands(2),0,0.0,0.0,0.0,9.0,20.9
2,10,1000,Islands(2),1,9.97161562848079,9.92,0.0,9.0,21.7
2,10,1000,Islands(2),2,9.993451265223468,9.94,0.0,9.0,20.6
2,10,1000,Islands(2),3,9.975088110537989,9.91,0.0,9.0,22.2
2,10,1000,Islands(2),4,9.972287268021383,9.91,0.0,9.0,19.7
2,10,1000,Islands(2),5,9.9526318445463,9.88,0.0,9.0,22.5
2,10,1000,Islands(8),0,0.0,0.0,0.0,9.0,177.3
2,10,1000,Islands(8),1,9.999534536487314,9.98,0.0,9.0,173.1
2,10,1000,Islands(8),2,9.991405670643118,9.96,0.0,9.0,181.0
2,10,1000,Islands(8),3,9.99504994888512,9.96,0.0,9.0,181.5
2,10,1000,Islands(8),4,9.994583636710036,9.98,0.0,9.0,191.0
2,10,1000,Islands(8),5,9.991493446553992,9.97,0.0,9.0,180.8
2,50,100,SingleThreaded,0,0.0,0.0,0.0,100.0,1.9
2,50,100,SingleThreaded,1,8.735613116082014,7.91,0.0,100.0,3.0
2,50,100,SingleThreaded,2,8.735613116082014,7.91,0.0,100.0,3.7
2,50,100,SingleThreaded,3,8.735613116082014,7.91,0.0,100.0,4.2
2,50,100,SingleThreaded,4,8.735613116082014,7.91,0.0,100.0,4.4
2,50,100,SingleThreaded,5,8.735613116082014,7.91,0.0,100.0,5.0
2,50,100,MasterSlave,0,0.0,0.0,0.0,100.0,4.0
2,50,100,MasterSlave,1,8.735613116082014,7.91,0.0,100.0,6.2
2,50,100,MasterSlave,2,8.735613116082014,7.91,0.0,100.0,6.2
2,50,100,MasterSlave,3,8.735613116082014,7.91,0.0,100.0,6.3
2,50,100,MasterSlave,4,8.735613116082014,7.91,0.0,100.0,6.6
2,50,100,MasterSlave,5,8.735613116082014,7.91,0.0,100.0,6.9
2,50,100,Islands(2),0,0.0,0.0,0.0,0.0,10.5
2,50,100,Islands(2),1,9.998903802853533,9.99,0.0,0.0,10.7
2,50,100,Islands(2),2,9.997343848653536,9.98,0.0,0.0,11.6
2,50,100,Islands(2),3,9.994629921012576,9.99,0.0,0.0,10.6
2,50,100,Islands(2),4,9.999279676724903,9.99,0.0,0.0,9.5
2,50,100,Islands(2),5,9.998196854977081,9.98,0.0,0.0,11.0
2,50,100,Islands(8),0,0.0,0.0,0.0,0.0,100.0
2,50,100,Islands(8),1,9.996076968175077,9.99,0.0,0.0,105.4
2,50,100,Islands(8),2,9.996944611678291,9.99,0.0,0.0,104.6
2,50,100,Islands(8),3,9.998317289117693,9.99,0.0,0.0,95.8
2,50,100,Islands(8),4,9.999106680702598,9.99,0.0,0.0,96.1
2,50,100,Islands(8),5,9.999190292025279,10.0,0.0,0.0,103.4
2,50,200,SingleThreaded,0,0.0,0.0,0.0,200.0,4.1
2,50,200,SingleThreaded,1,8.735613116082014,7.91,0.0,200.0,6.7
2,50,200,SingleThreaded,2,8.735613116082014,7.91,0.0,200.0,7.2
2,50,200,SingleThreaded,3,8.735613116082014,7.91,0.0,200.0,9.4
2,50,200,SingleThreaded,4,8.735613116082014,7.91,0.0,200.0,10.0
2,50,200,SingleThreaded,5,8.735613116082014,7.91,0.0,200.0,11.6
2,50,200,MasterSlave,0,0.0,0.0,0.0,200.0,9.6
2,50,200,MasterSlave,1,8.735613116082014,7.91,0.0,200.0,13.1
2,50,200,MasterSlave,2,8.735613116082014,7.91,0.0,200.0,13.5
2,50,200,MasterSlave,3,8.735613116082014,7.91,0.0,200.0,14.0
2,50,200,MasterSlave,4,8.735613116082014,7.91,0.0,200.0,14.0
2,50,200,MasterSlave,5,8.735613116082014,7.91,0.0,200.0,14.1
2,50,200,Islands(2),0,0.0,0.0,0.0,1.0,23.1
2,50,200,Islands(2),1,9.995557545855682,9.98,0.0,1.0,22.8
2,50,200,Islands(2),2,9.997929557669918,9.98,0.0,1.0,21.3
2,50,200,Islands(2),3,9.995151536531296,9.99,0.0,1.0,20.4
2,50,200,Islands(2),4,9.999352691684047,9.99,0.0,1.0,18.0
2,50,200,Islands(2),5,9.999113582993118,9.99,0.0,1.0,18.4
2,50,200,Islands(8),0,0.0,0.0,0.0,1.0,202.2
2,50,200,Islands(8),1,9.99911995216689,10.0,0.0,1.0,204.1
