Dimension,PopulationSize,Generations,Crossover MaxLen,Crossover Prob,Mutations,SelectionType,EngineType,Best result,Mean best result,Mean first achieved iter,Mean finished eval at,Mean eval ime
8,10,100,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,52.0,47.5,13.1
8,10,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,19.0,40.1,13.1
8,100,100,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,2.0,4.8,17.2
8,100,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,0.0,3.7,12.5
8,80,100,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,4.0,4.5,21.0
8,80,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,0.0,4.1,12.3
8,500,100,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,0.0,0.5,20.3
8,500,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,1.0,0.5,20.8
50,10,100,10,0.1,Swap[40%],Truncation(0.5),Generational,10.0,10.4,73.6,93.8,67.5
50,10,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,1183.0,969.0,439.2
50,100,100,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.4,87.4,97.9,438.9
50,100,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,107.0,231.7,1053.0
50,80,100,10,0.1,Swap[40%],Truncation(0.5),Generational,2.0,2.0,82.0,100.0,368.8
50,80,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,310.0,207.3,705.0
50,500,100,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,86.0,92.8,2061.3
50,500,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,103.0,125.8,3020.2
70,10,100,10,0.1,Swap[40%],Truncation(0.5),Generational,12.0,13.0,89.3,97.1,84.6
70,10,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,954.0,1296.3,1397.6
70,100,100,10,0.1,Swap[40%],Truncation(0.5),Generational,6.0,6.0,89.0,100.0,1005.1
70,100,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,169.0,307.9,2881.8
70,80,100,10,0.1,Swap[40%],Truncation(0.5),Generational,4.0,5.6,97.2,100.0,741.9
70,80,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,164.0,281.2,2064.5
70,500,100,10,0.1,Swap[40%],Truncation(0.5),Generational,2.0,2.0,98.0,100.0,4778.7
70,500,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,129.0,184.1,8772.8
200,10,100,10,0.1,Swap[40%],Truncation(0.5),Generational,104.0,105.4,95.6,100.0,739.1
200,10,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,1887.0,4828.1,38041.1
200,100,100,10,0.1,Swap[40%],Truncation(0.5),Generational,68.0,71.6,99.0,100.0,7483.6
200,100,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,594.0,1060.7,90443.1
200,80,100,10,0.1,Swap[40%],Truncation(0.5),Generational,80.0,82.0,99.3,100.0,6896.3
200,80,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,698.0,1203.2,82142.4
200,500,100,10,0.1,Swap[40%],Truncation(0.5),Generational,70.0,70.8,95.5,100.0,42296.8
200,500,10000,10,0.1,Swap[40%],Truncation(0.5),Generational,0.0,0.0,466.0,630.4,162066.9
